t,sync_wavelet_extra,async_wavelet_extra
2.422,-0.0009632008447292358,-0.0013878552365096091
2.4225,-0.0011607482100619861,-0.0016020092108054728
2.423,-0.001292466518447267,-0.0017068280893381958
2.4235,-0.0012924135184943595,-0.001646004583993441
2.424,-0.001108173480007385,-0.001380287860208796
2.4245,-0.0007321335463989001,-0.0009127438326122091
2.4250000000000003,-0.0002156370945222827,-0.0003007920115152004
2.4255,0.00034479269479670304,0.00035572914023415057
2.426,0.0008429519700826087,0.0009466434384711374
2.4265,0.0011995727398074942,0.0013856185477687738
2.427,0.0013799975807345076,0.0016277873239256566
2.4275,0.0013884573767974728,0.0016666499573603356
2.428,0.0012513004720388725,0.0015219891511495845
2.4285,0.0010048878963192617,0.0012326312774548812
2.4290000000000003,0.0006929737432809868,0.0008558435884204648
2.4295,0.0003662077127151092,0.00046352867966506126
2.43,7.53816478778318e-05,0.00012733982099864686
2.4305,-0.00014069968425186889,-0.00010227458041330634
2.431,-0.0002641531576719697,-0.0002093036010266963
2.4315,-0.0002976590646178032,-0.00020922034519894775
2.432,-0.00025747907286549686,-0.000134829333521283
2.4325,-0.00016713083555711501,-2.314280770974345e-05
2.433,-5.502440766834832e-05,8.986276706964276e-05
2.4335,4.737240412160362e-05,0.00017024998383684503
2.434,0.00011144147330000294,0.00019025781093832495
2.4345,0.00012048186761191921,0.00013683496667101264
2.435,7.564583564407135e-05,1.7925658974589355e-05
2.4355,-6.368505898904397e-06,-0.0001405439584847417
2.436,-0.00010241260914653732,-0.0003065539168851146
2.4365,-0.0001922253904264308,-0.00045490911130008046
2.437,-0.0002625952649226707,-0.0005731067643206478
2.4375,-0.00030632443833276843,-0.0006583935240513082
2.438,-0.00031990084468479273,-0.0007106398872971548
2.4385,-0.00030298574787066267,-0.0007269934547581122
2.439,-0.00025930042101631113,-0.0007011685498265882
2.4395,-0.0001964773151141093,-0.0006266892666380219
2.44,-0.0001236922627890818,-0.000501884258670179
2.4405,-4.8463667977052286e-05,-0.000334301048645584
2.441,2.501009129675284e-05,-0.00014221147098187608
2.4415,9.494912408690778e-05,4.8556837938943385e-05
2.442,0.00015952649457115305,0.00021199770660168435
2.4425,0.00021472084149485186,0.0003299693494866624
